Image,Label,Smoothness,Average Amplitude,Irregularities,Peak Count,Trough Count,Zero Crossings,Wave Energy,Signal Entropy,Skewness,Kurtosis,Dominant Frequency
V01HO01.png,Healthy,0.03290166747384628,0.03406187908032927,240,0,0,1,2837.058882607843,2.2495828568323675,-0.3661589488913366,-1.0425245336672957,1
V02HO01.png,Healthy,0.022338803690349452,0.022861449566637358,182,0,0,1,2726.7603854443673,2.3007015913194016,-0.038688526525895876,-1.187466073397859,1
V03HO01.png,Healthy,0.03471146328754052,0.03600804240541035,197,0,0,1,1679.89559994128,2.2772896983964186,0.053773032874105835,-1.3212010700542198,1
V04HO01.png,Healthy,0.03328561923261136,0.03447408152994464,274,0,0,1,2483.158114966559,2.275869379343701,-0.006632433816356303,-1.1759588567364603,1
V05HO01.png,Healthy,0.03230292417350186,0.033419807721654204,219,0,0,1,2028.923169060938,2.276709564572242,-0.0337156349897271,-1.0999855739729132,1
V06HO01.png,Healthy,0.03130869219573917,0.03235557545902373,289,0,0,1,2922.25050359717,2.2813980564440848,0.03585693783430145,-1.1373071609763192,1
V07HO01.png,Healthy,0.0375472071673275,0.039073983341499266,319,0,0,1,2678.4565530128903,2.281860230935675,0.013020701809125412,-1.2779702899097911,1
V08HO01.png,Healthy,0.028136356682682866,0.028975963121501483,352,0,0,1,3994.096479436952,2.289720930462137,-0.01869887073416961,-1.178295483486008,1
V09HO01.png,Healthy,0.017788587071560582,0.018116805721096543,304,0,0,1,6119.920254924347,2.289539881907751,-0.197702535100098,-1.214615166623025,1
V10HO01.png,Healthy,0.04741768173258246,0.04990854455186831,191,0,0,1,1415.6387560435842,2.2797753515028463,-0.08190334431119826,-1.2602602079951037,1
V11HO01.png,Healthy,0.017982192534258753,0.01831773183379352,272,0,0,1,4923.415837500836,2.2924165996510313,-0.05637835311504988,-1.1761213651102618,1
V55HO08.png,Healthy,0.04352240823293908,0.04560194568301581,225,0,0,1,1507.2019619112912,2.2812815092139678,0.03154286670636741,-1.2280748347105268,1
V55HO09.png,Healthy,0.024355129836236084,0.024979084498625553,209,0,0,1,2622.5233374644636,2.2896708700790227,0.04697314001736235,-1.159909759876382,1
V55HO10.png,Healthy,0.018553042747967815,0.01891065564488733,167,0,0,1,2624.1410994849894,2.291941073182279,0.12276933778166417,-1.1428689654589024,1
V55HO11.png,Healthy,0.03253195755804978,0.03366531070276336,240,0,0,1,2898.904402925797,2.2465252094720913,-0.3844923457892114,-1.0347816155023346,1
V01PO01.png,Parkinsonian,0.023321587191765313,0.023892435674211645,247,0,0,1,3811.389337920203,2.286149497985063,-0.13664226764004417,-1.2916402795247233,1
V02PO01.png,Parkinsonian,0.025757079444088973,0.026457055214723926,207,0,0,1,2169.2490163581624,2.262298292724245,0.15175186697787627,-0.9636967508176228,1
V03PO01.png,Parkinsonian,0.033842536618541835,0.03422403580360669,258,0,0,1,2034.7376618629648,2.2312583916314126,0.22092806950061367,-1.1113629015637136,1
V03PO04.png,Parkinsonian,0.04193598030163128,0.043859649122807015,275,0,0,1,1947.0482899718802,2.279174825716786,0.03421487886567007,-1.093032439644179,1
V03PO07.png,Parkinsonian,0.028253688306598353,0.0291005291005291,242,0,0,1,2975.785918989817,2.2770641089190145,-0.19803395952167616,-1.155700384325937,1
V04PO01.png,Parkinsonian,0.03437477081542356,0.03564536269724146,314,0,0,1,2199.183046157177,2.2188621275205636,0.3826351212849482,-0.7764600588267325,1
V05PO01.png,Parkinsonian,0.039472472221925334,0.04116721152681923,340,0,0,1,2035.4203773002953,2.213268286058453,0.339231952438835,-0.6707749865062023,1
V06PO01.png,Parkinsonian,0.023688137609048865,0.024277536381819436,352,0,0,1,4556.3744091579965,2.2210027311806484,-0.09633369872689017,-0.9438594401724525,1
V07PO01.png,Parkinsonian,0.013280198859059577,0.013461408374484205,398,0,0,1,8569.891361192687,2.2797717733790948,0.1953866310956661,-0.9607856162883097,1
V08PO01.png,Parkinsonian,0.03734628236359742,0.03885607709045695,250,0,0,1,1999.779392001765,2.2494553043974026,-0.15982916540980996,-0.9733098363283204,1
V09PO01.png,Parkinsonian,0.01899764143971372,0.019372952737482452,414,0,0,1,7717.688712745652,2.2342103995860194,-0.2545230581409711,-0.8522604644957115,1
V10PO01.png,Parkinsonian,0.027526554972119525,0.028329092451229856,167,0,0,1,2140.029842777799,2.247294752219667,-0.16223251137705685,-1.085223059387559,1
V11PO01.png,Parkinsonian,0.024693182217654323,0.02533504681476042,276,0,0,1,4273.7756070268315,2.2214466075416293,-0.4797102740996151,-0.8221557973751357,1
V14PO01.png,Parkinsonian,0.01502801692637467,0.01526091237282573,186,0,0,1,4417.138667962319,2.2866023354931944,-0.2159654034818473,-1.1119432857131966,1
V14PO03.png,Parkinsonian,0.012236163326709222,0.012389667179528706,153,0,0,1,3994.093501551001,2.2978381966206065,0.011813657217560978,-1.164970231876865,1
